当 dāng
众 zhòng
醒 xǐng
昨 zuó
勤 qín
俭 jiǎn
死 sǐ
克 kè
弱 ruò
患 huàn
缠 chán
喉 hóu
咙 lóng
鞠 jū
肃 sù
鸦 yā
啸 xiào
戛 jiá
群 qún
堆 duī
闹 nào
哭 kū
晖 huī
沐 mù
迈 mài
殿 diàn
诫 jiè
蠢 chǔn
臂 bì
险 xiǎn
按 àn
赔 péi
投 tóu
符 fú
痛 tòng
欲 yù
额 é
偿 cháng
厂 chǎng
操 cāo
慎 shèn
肘 zhǒu
截 jié
莞 guān
凭 píng
借 jiè
忐 tǎn
忑 tè
匆 cōng
戚 qī
聪 cōng
辈 bèi
亏 kuī
江 jiāng
瞒 mán
板 bǎn
郭 guō
判 pàn
协 xié
乏 fá
妻 qī
审 shěn
裁 cái
吵 chǎo
休 xiū
忍 rěn
矛 máo
盾 dùn
医 yī
针 zhēn
灸 jiǔ
诊 zhěn
癜 diàn
刘 liú
疗 liáo
忌 jì
羊 yáng
肉 ròu
芝 zhī
锻 duàn
炼 liàn
皮 pí
涂 tú
药 yào
消 xiāo
丸 wán
咨 zī
询 xún
段 duàn
祛 qū
湿 shī
络 luò
辨 biàn
疫 yì
改 gǎi
液 yè
循 xún
肤 fū
末 mò
梢 shāo
痒 yǎng
症 zhèng
碍 ài
躯 qū
殖 zhí
单 dān
岛 dǎo
床 chuáng
鳞 lín
屑 xiè
肝 gān
泌 mì
紊 wěn
谢 xiè
障 zhàng
胞 bāo
坏 huài
摒 bìng
诱 yòu
惑 huò
择 zé
享 xiǎng
沓 tà
槽 cáo
悄 qiǎo
逝 shì
闯 chuǎng
辕 yuán
辙 zhé
譬 pì
羡 xiàn
贾 gǔ
番 fān
奥 ào
衡 héng
违 wéi
滚 gǔn
洪 hóng
锢 gù
缚 fù
沮 jǔ
丧 sāng
寂 jì
企 qǐ
嫌 xián
招 zhāo
账 zhàng
谙 ān
掉 diào
伙 huǒ
奶 nǎi
榨 zhà
豆 dòu
浆 jiāng
执 zhí
柔 róu
畜 xù
武 wǔ
攻 gōng
苏 sū
康 kāng
努 nǔ
诺 nuò
窍 qiào
昼 zhòu
骅 huá
痊 quán
退 tuì
矩 jǔ
馒 mán
餐 cān
碗 wǎn
菜 cài
苛 kē
慷 kāng
慨 kǎi
捐 juān
誓 shì
叔 shū
兰 lán
厨 chú
培 péi
牌 pái
挚 zhì
佳 jiā
廉 lián
肴 yáo
誉 yù
抓 zhuā
肯 kěn
终 zhōng
懒 lǎn
降 jiàng
票 piào
栽 zāi
刺 cì
陪 péi
蒜 suàn
孺 rú
砖 zhuān
卡 qiǎ
氧 yǎng
替 tì
屋 wū
私 sī
裕 yù
锦 jǐn
添 tiān
球 qiú
井 jǐng
措 cuò
喻 yù
误 wù
励 lì
讼 sòng
彼 bǐ
虑 lǜ
卑 bēi
鬼 guǐ
傲 ào
骨 gǔ
吉 jí
阻 zǔ
塞 sāi
斤 jīn
驭 yù
畴 chóu
默 mò
恰 qià
沟 gōu
纠 jiū
冲 chōng
突 tū
碰 pèng
检 jiǎn
控 kòng
售 shòu
撤 chè
剖 pōu
析 xī
晓 xiǎo
奔 bēn
波 bō
渊 yuān
源 yuán
亿 yì
域 yù
辟 bì
栏 lán
聘 pìn
汲 jí
验 yàn
袂 mèi
厦 shà
冰 bīng
福 fú
凌 líng
摄 shè
哈 hā
尔 ěr
滨 bīn
尼 ní
嘉 jiā
皇 huáng
魄 pò
洒 sǎ
雪 xuě
搀 chān
厅 tīng
溥 pǔ
忙 máng
姑 gū
矢 shǐ
寸 cùn
贡 gòng
架 jià
诣 yì
粉 fěn
刮 guā
蜂 fēng
蜜 mì
抹 mǒ
芬 fēn
芳 fāng
凋 diāo
芜 wú
冻 dòng
噩 è
虔 qián
洗 xǐ
霜 shuāng
碾 niǎn
驱 qū
缤 bīn
拢 lǒng
唇 chún
翕 xī
讣 fù
颊 jiá
疤 bā
闪 shǎn
巴 bā
喽 lóu
昏 hūn
扎 zā
爬 pá
尸 shī
返 fǎn
扫 sǎo
糊 hū
迅 xùn
速 sù
狙 jū
率 shuài
掩 yǎn
渠 qú
腮 sāi
瞎 xiā
拖 tuō
猪 zhū
胶 jiāo
威 wēi
牵 qiān
蹒 pán
跚 shān
摧 cuī
巫 wū
峡 xiá
覆 fù
舟 zhōu
兽 shòu
欺 qī
妥 tuǒ
货 huò
钞 chāo
贩 fàn
搅 jiǎo
逻 luó
舒 shū
顾 gù
倍 bèi
阱 jǐng
诈 zhà
勉 miǎn
亵 xiè
渎 dú
肢 zhī
鸭 yā
烤 kǎo
偷 tōu
套 tào
锅 guō
柱 zhù
捡 jiǎn
标 biāo
捞 lāo
劝 quàn
君 jūn
惆 chóu
怅 chàng
婉 wǎn
眺 tiào
董 dǒng
滩 tān
币 bì
湮 yān
沙 shā
矗 chù
烽 fēng
燧 suì
晴 qíng
朗 lǎng
蜃 shèn
丝 sī
绸 chóu
隘 ài
芦 lú
岸 àn
柳 liǔ
胡 hú
泓 hóng
牙 yá
骤 zhòu
弦 xián
仙 xiān
橙 chéng
沾 zhān
晶 jīng
莹 yíng
刃 rèn
纹 wén
腻 nì
拓 tuò
塑 sù
吸 xī
翔 xiáng
惊 jīng
蓝 lán
翱 áo
琵 pí
琶 pá
蹈 dǎo
碧 bì
牟 móu
朴 pǔ
掬 jū
淋 lín
漓 lí
娴 xián
魏 wèi
隋 suí
雍 yōng
肌 jī
综 zōng
秦 qín
砂 shā
错 cuò
阁 gé
银 yín
溪 xī
潺 chán
亘 gèn
耸 sǒng
洲 zhōu
娱 yú
缀 zhuì
迩 ěr
祁 qí
廊 láng
衰 shuāi
驼 tuó
绎 yì
亚 yà
瓜 guā
郡 jùn
枕 zhěn
咽 yān
柏 bǎi
疆 jiāng
吾 wú
阎 yán
霞 xiá
豁 huō
船 chuán
媳 xí
